Elementos_N;Tiempo_FB_ms;Tiempo_DyV_ms
500;1;0
1000;6;2
1500;13;1
2000;25;2
2500;38;3
3000;52;4
3500;77;4
4000;108;4
4500;116;5
5000;148;6
5500;179;7
6000;207;7
6500;232;8
7000;288;9
7500;345;14
8000;393;9
8500;424;11
9000;462;11
9500;515;12
10000;584;13
10500;653;13
11000;702;15
11500;755;15
12000;842;16
12500;906;17
13000;1015;17
13500;1078;21
14000;1211;18
14500;1313;20
15000;1392;23
15500;1439;19
16000;1598;23
16500;1729;23
17000;1789;22
17500;1849;25
18000;2084;33
18500;2314;35
19000;2291;28
19500;2459;33
20000;2484;30
